fid,SAMNumber,Name,Period,SiteType,Report,lon,lat
"1",CN395     ,Nant y Gledrydd Standing Stone                                                                                                                        ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=1,"-4.5388858222715","52.8987584624998"
"2",ME249     ,Medieval Ecclesiastical Structure SE of Ty'n y Coed Cottage                                                                                           ,Medieval,Chapel,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=2,"-4.0882050228561","52.8265188364301"
"3",PE515     ,Parc Castell Round Barrow                                                                                                                             ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=3,"-4.87903544136799","51.9083988422739"
"4",PE516     ,Mynydd Castlebythe Round Barrows                                                                                                                      ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=4,"-4.86907551438786","51.9302972038332"
"5",PE524     ,Round Barrow 100m E of Thornbush                                                                                                                      ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=5,"-5.0258109744909","51.8546768798547"
"6",ME253     ,Carnedd y Filiast Cairn                                                                                                                               ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=6,"-3.68283934746922","52.9867994102768"
"7",CD210     ,Round Cairns c. 400m SE of Lan Fawr                                                                                                                   ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=7,"-3.90952562763199","52.1310801356539"
"8",BR353     ,Banwen Gwys Round Cairns                                                                                                                              ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=8,"-3.74640137752024","51.8508630874118"
"9",CD212     ,Blaenannerch Round Barrow                                                                                                                             ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=9,"-4.55765653631367","52.111432959919"
"10",PE502     ,"Gellifawr, Standing Stone 70m SW of                                                                                                                   ",Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=10,"-4.82364021363165","51.9745756232504"
"11",RD157     ,Medieval Settlement on Penybont Common                                                                                                                ,Medieval,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=11,"-3.28087041254898","52.2690707365839"
"12",RD158     ,Pant y Rhiw Medieval Settlement                                                                                                                       ,Medieval,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=12,"-3.34665793526544","52.2069444723195"
"13",RD159     ,Bank House Medieval Settlement                                                                                                                        ,Medieval,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=13,"-3.34200270491494","52.2352968801445"
"14",AN129,Llys Rhosyr,Medieval,Manor,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=14,"-4.36618368410189","53.1620076801872"
"15",GM625,"St. Illtud's Church, Early Medieval Cross, Cross Shafts and Pillar",Early Medieval,Pillar,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=21,"-3.48823615507161","51.4079615213703"
"16",RD192     ,Bronze Age tumulus north of Beili Haulwen                                                                                                             ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=111,"-3.47635109402414","52.3599446466818"
"17",MG294     ,Esgair Draenllwyn Round Cairn I                                                                                                                       ,Prehistoric,Round Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=112,"-3.58426072567447","52.5370740988932"
"18",MG286     ,Trelystan Church House Round Barrows                                                                                                                  ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=113,"-3.09356704784895","52.6369650659794"
"19",DE277     ,Ysgwennant Barrow                                                                                                                                     ,Prehistoric,Round Barrow,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=114,"-3.2051988966537","52.8662767619399"
"20",CM352     ,Troedrhiwhir Mountain ring cairn                                                                                                                      ,Prehistoric,Ring Cairn,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=115,"-3.82799575188947","52.1140033656525"
"21",CD161,Castell Olwen,Prehistoric,Hillfort,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=116,"-4.07533020069788","52.1231711393268"
"22",MG275     ,Carreg Hir Standing Stone                                                                                                                             ,Prehistoric,Standing Stone,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=128,"-3.45567546161551","52.5605596185439"
"23",BR287     ,Cerrig Llwydion Deserted Rural Settlement                                                                                                             ,Post Medieval/Modern,Deserted Rural Settlement,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=129,"-3.6400844387558","52.2474446196333"
"24",MG263     ,Cwm Rhiwiau Stone Circle                                                                                                                              ,Prehistoric,Stone Circle,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=130,"-3.39883097875933","52.8642422296686"
"25",DE253     ,Tyddyn Tudur Enclosure                                                                                                                                ,Prehistoric,Enclosure - Domestic,http://cadwpublic-api.azurewebsites.net/reports/sam/FullReport?lang=en&id=131,"-3.529103003712","53.0337906709558"
